version_id,effective_from,service,award,employment_type,classification,classification_order,rate_band,rate_band_order,rate
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Casual,Level 3,3,SUN_FLAT,5,63.86
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Full Time,Level 3,3,SUN_FLAT,5,56.76
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Part Time,Level 3,3,SUN_FLAT,5,56.76
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Casual,Level 3,3,PH_FLAT,6,78.05
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Full Time,Level 3,3,PH_FLAT,6,70.95
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Part Time,Level 3,3,PH_FLAT,6,70.95
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Casual,Level 4,4,WKDAY_DAY,1,36.08
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Full Time,Level 4,4,WKDAY_DAY,1,28.86
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Part Time,Level 4,4,WKDAY_DAY,1,28.86
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Casual,Level 4,4,WKDAY_EMAFT,2,42.34
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Full Time,Level 4,4,WKDAY_EMAFT,2,35.12
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Part Time,Level 4,4,WKDAY_EMAFT,2,35.12
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Casual,Level 4,4,WKDAY_PERM_NIGHT,3,44.73
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Full Time,Level 4,4,WKDAY_PERM_NIGHT,3,37.52
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Part Time,Level 4,4,WKDAY_PERM_NIGHT,3,37.52
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Casual,Level 4,4,SAT_FLAT,4,50.51
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Full Time,Level 4,4,SAT_FLAT,4,43.29
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Part Time,Level 4,4,SAT_FLAT,4,43.29
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Casual,Level 4,4,SUN_FLAT,5,64.94
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Full Time,Level 4,4,SUN_FLAT,5,57.72
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Part Time,Level 4,4,SUN_FLAT,5,57.72
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Casual,Level 4,4,PH_FLAT,6,79.37
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Full Time,Level 4,4,PH_FLAT,6,72.15
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Part Time,Level 4,4,PH_FLAT,6,72.15
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Casual,Level 5,5,WKDAY_DAY,1,37.24
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Full Time,Level 5,5,WKDAY_DAY,1,29.79
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Part Time,Level 5,5,WKDAY_DAY,1,29.79
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Casual,Level 5,5,WKDAY_EMAFT,2,43.7
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Full Time,Level 5,5,WKDAY_EMAFT,2,36.25
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Part Time,Level 5,5,WKDAY_EMAFT,2,36.25
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Casual,Level 5,5,WKDAY_PERM_NIGHT,3,44.73
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Full Time,Level 5,5,WKDAY_PERM_NIGHT,3,38.73
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Part Time,Level 5,5,WKDAY_PERM_NIGHT,3,38.73
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Casual,Level 5,5,SAT_FLAT,4,52.13
